"","Study_number","Record_number","N","OtherFactor","Longitude","Clay_percent","Clay_depth","SOC_percent","SOC_depth","manipSM_per","manipSM_depth","BBL_notes","Percent_control","SM_mean","SM_sd","Author","Study_midyear","Latitude","Ecosystem_type","Manipulation","Manipulation_level","Meas_method","Species","Soil_type","Elevation","Meas_interval","Variable","Manip_Resp","Manip_SD","contSM_per","contSM_depth","Quality_flag","Control_Resp","Control_SD","Duration","sg_clay","sg_ocs","yi","vi"
"18",1268,1465,3,NA,-148.29,NA,NA,NA,NA,NA,20,NA,0,0.45,NA,"Billings",1996,64.72,"Forest","Drought","","Gas chromatography","Picea glauca; Populus balsamifera","Silt loam (Typic Cryofluvent)",139,NA,"Rs_growingseason",1.67,0.02,NA,20,"",2.77,0.09,0,123,32.9423076923077,-0.506023693770583,0.000399696387419909
"19",1268,1468,3,NA,-148.48,NA,NA,NA,NA,NA,20,NA,0,0.14,NA,"Billings",1997,64.69,"Forest","Drought","","Gas chromatography","Betula papyrifera; Picea glauca; Populus balsamifera","Silt loam (Alfic Cryoquept)",308,NA,"Rs_growingseason",1.98,0.4,NA,20,"",2.09,0.23,1,141.294117647059,36.2352941176471,-0.0540672212702757,0.0176408968764659
"20",1268,1469,3,NA,-148.29,NA,NA,NA,NA,NA,20,NA,0,0.35,NA,"Billings",1997,64.72,"Forest","Drought","","Gas chromatography","Picea glauca; Populus balsamifera","Silt loam (Typic Cryofluvent)",139,NA,"Rs_growingseason",2.2,0.24,NA,20,"",3.07,0.47,1,123,32.9423076923077,-0.333220201234835,0.011779580302304
"21",4549,1525,10,"Unrestored",-111.73,NA,NA,NA,NA,NA,15,NA,200,0.17,0.01,"Selmants",2000.5,35.27,"Forest","Irrigation","","Alkali absorption","Pinus ponderosa","Typic Argiborolls; Mollic Eutroboralfs",2250,14,"Rs_annual",2.61342916787781,0.0396374494622519,NA,15,"Q01",2.37824696773512,0.0528499326163359,0,279.211538461538,44.8076923076923,0.0942995682984015,7.23860050085197e-05
"22",4549,1528,10,"Restored",-111.73,NA,NA,NA,NA,NA,15,NA,200,0.26,0.005,"Selmants",2000.5,35.27,"Forest","Irrigation","","Alkali absorption","Pinus ponderosa","Typic Argiborolls; Mollic Eutroboralfs",2250,14,"Rs_annual",3.10493354120973,0.0739899056628703,NA,15,"Q01",2.75876648257273,0.0660624157704199,0,279.211538461538,44.8076923076923,0.118208658135675,0.000114128692420922
"23",4564,1545,3,NA,5.92,NA,NA,NA,NA,13,10,NA,77,0.19,NA,"Sowerby",2001,52.4,"Shrubland","Drought","","Gas chromatography","Calluna vulgaris; Molinia caerulea; Deschampsia flexuosa","Sandy podzol",NA,21,"Rs_annual",0.562851782363977,NA,21,10,"",0.694976613904817,NA,0,86.3921568627451,64.4313725490196,-0.210861866468339,NA
"24",4564,1546,3,NA,-10.95,NA,NA,NA,NA,18,10,NA,77,0.2,NA,"Sowerby",2001,56.38,"Shrubland","Drought","","IRGA","Calluna vulgaris; Deschampsia flexuosa","Sandy podzol",NA,21,"Rs_annual",0.626271701503581,NA,23,10,"",1.57757048859763,NA,0,NA,NA,-0.923856972257471,NA
"25",4270,1932,18,NA,-54.95,70,NA,NA,NA,NA,NA,NA,65,NA,NA,"Davidson",2003,-2.9,"Forest","Drought","65% annual precip","IRGA","Mix","Oxisols",NA,60,"Rs_annual",3.3823956874455,0.26424966308168,NA,NA,"",3.3823956874455,0.343524562006183,0,701.06,40.98,0,0.000912136501736111
"26",4257,1934,3,NA,-121.28,NA,NA,NA,NA,18,10,NA,150,0.21,NA,"Chou",2003,39.25,"Grassland","Irrigation","","IRGA","Avena spp.; Bromus spp.; Lolium spp.; Hordeum spp.","Clay loam",345,14,"Rs_annual",3.09172105805565,0.200829743942076,14,10,"Q01",2.67156409375578,0.110984858494305,0,268.659090909091,43.1590909090909,0.14606380877133,0.00198175644621433
"27",4257,1936,3,NA,-121.28,NA,NA,NA,NA,23,10,NA,150,0.22,NA,"Chou",2004,39.25,"Grassland","Irrigation","","IRGA","Avena spp.; Bromus spp.; Lolium spp.; Hordeum spp.","Clay loam",345,14,"Rs_annual",4.14343471712074,0.0158549797849008,20,10,"Q01",3.91089501360886,0.401659487884153,1,268.659090909091,43.1590909090909,0.0577588341521923,0.0035208291596554
