ID,Authors,DOI,Observations,Ecosystem_type,Manipulation,Clay_percent,Clay_depth,SOC_percent,SOC_depth,SM_percent_control,SM_percent_treatment,SM_depth,Notes
13030,Leyva-Morales et al. (2019),10.1007/s00572-019-00880-8,1,Grassland,Drought,,,,,,,,
13030,Leyva-Morales et al. (2019),10.1007/s00572-019-00880-8,1,Grassland,Irrigation,,,,,,,,
13033,Tang et al. (2019),10.1016/j.scitotenv.2018.11.082,4,Grassland,Drought,,,,,,,,
13033,Tang et al. (2019),10.1016/j.scitotenv.2018.11.082,4,Grassland,Irrigation,,,,,,,,
13044,Spohn et al. (2019),10.1016/j.soilbio.2018.12.018,2,Desert,Irrigation,,,,,,,,
13072,Chen et al. (2019),10.1016/j.still.2018.11.007,4,Grassland,Drought,,,,,,,,
13072,Chen et al. (2019),10.1016/j.still.2018.11.007,4,Grassland,Irrigation,,,,,,,,
13079,Forde et al. (2019),10.1016/j.scitotenv.2018.10.217,10,Grassland,Drought,,,,,,,,
13079,Forde et al. (2019),10.1016/j.scitotenv.2018.10.217,10,Grassland,Irrigation,,,,,,,,
13079,Forde et al. (2019),10.1016/j.scitotenv.2018.10.217,5,Desert,Drought,,,,,,,,
13079,Forde et al. (2019),10.1016/j.scitotenv.2018.10.217,5,Desert,Irrigation,,,,,,,,
13094,Li et al. (2019),10.1016/j.foreco.2018.10.055,1,Forest,Drought,,,,,,,,
13096,Kriiska et al. (2019),10.1016/j.foreco.2018.11.026,1,Shrubland,Drought,,,,,,,,
13112,Jacotot et al. (2019),10.1016/j.scitotenv.2018.09.093,2,Grassland,Drought,,,,,,,,
13112,Jacotot et al. (2019),10.1016/j.scitotenv.2018.09.093,2,Grassland,Irrigation,,,,,,,,
13189,Reddy et al. (2019),10.1016/j.catena.2018.08.036,4,Grassland,Drought,,,,,,,,
13193,Arora et al. (2019),10.1016/j.scitotenv.2018.08.251,2,Forest,Drought,,,,,,,,
13242,Mohamed et al. (2019),10.4067/S0717-92002019000200163,1,Savanna,Drought,,,,,,,,
13242,Mohamed et al. (2019),10.4067/S0717-92002019000200163,1,Savanna,Irrigation,,,,,,,,
