Study_number,Record_number,N,Percent_control,SM_mean,SM_sd,Author,Study_midyear,Year,Latitude,Ecosystem_type,Manipulation,Manipulation_level,Meas_method,Soil_type,Soil_drainage,Elevation,Quality_flag,Variable,Manip_Resp,Manip_SD,Control_Resp,Control_SD
1268,1464,1,0,0.11,NA,Billings,1996,1,64.69,Forest,Drought,,Gas chromatography,Silt loam (Alfic Cryoquept),Dry,308,,Rs_growingseason,2.44,0.41,3.68,0.46
1268,1465,1,0,0.45,NA,Billings,1996,1,64.72,Forest,Drought,,Gas chromatography,Silt loam (Typic Cryofluvent),Wet,139,,Rs_growingseason,1.67,0.02,2.77,0.09
1268,1468,1,0,0.14,NA,Billings,1997,2,64.69,Forest,Drought,,Gas chromatography,Silt loam (Alfic Cryoquept),Dry,308,,Rs_growingseason,1.98,0.4,2.09,0.23
1268,1469,1,0,0.35,NA,Billings,1997,2,64.72,Forest,Drought,,Gas chromatography,Silt loam (Typic Cryofluvent),Wet,139,,Rs_growingseason,2.2,0.24,3.07,0.47
1421,760,4,86,NA,NA,Borken,1993,1,51.52,Forest,Drought,Roof+ambient water,Gas chromatography,Typic Dystrochrept,Dry,510,,Rs_annual,321,23.3,302,36.6
1421,761,4,55,NA,NA,Borken,1993,1,51.52,Forest,Drought,Roof+drought,Gas chromatography,Typic Dystrochrept,Dry,510,,Rs_annual,298,41.6,302,36.6
1421,764,4,86,NA,NA,Borken,1994,2,51.52,Forest,Drought,Roof+drought,Gas chromatography,Typic Dystrochrept,Dry,510,,Rs_annual,481,75.6,313,15.5
2809,2010,4,121,NA,NA,Vasconcelos,2001,1,-1.32,Forest,Irrigation,5 mm/day,IRGA,Sombriustox,Dry,NA,,Rs_annual,2021,154,1593,74
2809,2012,4,134,NA,NA,Vasconcelos,2002,2,-1.32,Forest,Irrigation,5 mm/day,IRGA,Sombriustox,Dry,NA,,Rs_annual,2237,158,1988,126
4257,1934,3,150,0.21,NA,Chou,2003,1,39.25,Grassland,Irrigation,,IRGA,Clay loam,Dry,345,Q01,Rs_annual,1170,76,1011,42
